ANN,logistic,2,None,0.93208,0.4805,0.0012
ANN,logistic,16,None,0.93585,0.4838,0.0012
ANN,logistic,64,None,0.94717,1.8675,0.0015
ANN,logistic,256,None,0.93962,3.3125,0.0027
ANN,logistic,512,None,0.94717,5.0152,0.0045
ANN,tanh,2,None,0.91698,0.4769,0.0011
ANN,tanh,16,None,0.9434,0.5503,0.0013
ANN,tanh,64,None,0.97736,1.9451,0.0021
ANN,tanh,256,None,0.97358,4.5523,0.005
ANN,tanh,512,None,0.96981,7.3816,0.0085
ANN,relu,2,None,0.66415,0.4708,0.0011
ANN,relu,16,None,0.93962,0.4776,0.0011
ANN,relu,64,None,0.96981,1.3013,0.0012
ANN,relu,256,None,0.93208,2.4507,0.0016
ANN,relu,512,None,0.98491,3.3732,0.0025
ANN,logistic,2,None,0.91698,0.4644,0.0012
ANN,logistic,16,None,0.91698,0.4886,0.0012
ANN,logistic,64,None,0.9283,1.5305,0.0017
ANN,logistic,256,None,0.93585,3.0939,0.003
ANN,logistic,512,None,0.93208,5.8869,0.0045
ANN,tanh,2,None,0.93962,0.4716,0.0011
ANN,tanh,16,None,0.95472,0.5397,0.0013
ANN,tanh,64,None,0.95849,1.8237,0.002
ANN,tanh,256,None,0.95849,4.9328,0.0047
ANN,tanh,512,None,0.95849,9.1858,0.0087
ANN,relu,2,None,0.53585,0.4659,0.0011
ANN,relu,16,None,0.94717,0.4758,0.0011
ANN,relu,64,None,0.95094,1.2545,0.0012
ANN,relu,256,None,0.93962,2.4964,0.0016
ANN,relu,512,None,0.96604,4.7296,0.0024
ANN,logistic,2,None,0.89057,0.4642,0.0012
ANN,logistic,16,None,0.90566,0.4779,0.0012
ANN,logistic,64,None,0.91321,1.4082,0.0017
ANN,logistic,256,None,0.92075,3.2253,0.0028
ANN,logistic,512,None,0.91321,5.7821,0.0045
ANN,tanh,2,None,0.89434,0.4766,0.0011
ANN,tanh,16,None,0.91698,0.5422,0.0013
ANN,tanh,64,None,0.95472,1.937,0.002
ANN,tanh,256,None,0.95472,4.8414,0.0048
ANN,tanh,512,None,0.95849,9.0464,0.0086
ANN,relu,2,None,0.63396,0.4669,0.0011
ANN,relu,16,None,0.92453,0.5221,0.0011
ANN,relu,64,None,0.9434,1.2625,0.0012
ANN,relu,256,None,0.95094,2.6549,0.0016
ANN,relu,512,None,0.95849,4.6574,0.0024
ANN,logistic,2,None,0.92453,0.4631,0.0026
ANN,logistic,16,None,0.9283,0.4919,0.0028
ANN,logistic,64,None,0.93585,1.3957,0.0134
ANN,logistic,256,None,0.93585,1.9563,0.0185
ANN,logistic,512,None,0.93585,4.1081,0.0119
ANN,tanh,2,None,0.91698,0.4728,0.0015
ANN,tanh,16,None,0.95094,0.5356,0.0031
ANN,tanh,64,None,0.96981,1.8229,0.0145
ANN,tanh,256,None,0.96604,4.9238,0.0146
ANN,tanh,512,None,0.96981,13.5532,0.0145
ANN,relu,2,None,0.71321,0.7007,0.0015
ANN,relu,16,None,0.95094,0.72,0.0013
ANN,relu,64,None,0.95094,2.2005,0.0069
ANN,relu,256,None,0.95849,3.9414,0.0033
ANN,relu,512,None,0.97358,7.5337,0.0061
ANN,logistic,2,None,0.93962,0.4707,0.0013
ANN,logistic,16,None,0.94717,0.5153,0.0012
ANN,logistic,64,None,0.95849,1.4689,0.0015
ANN,logistic,256,None,0.95849,3.2507,0.0031
ANN,logistic,512,None,0.94717,5.9566,0.0046
ANN,tanh,2,None,0.9283,0.4901,0.0011
ANN,tanh,16,None,0.96226,0.5522,0.0013
ANN,tanh,64,None,0.98491,1.888,0.002
ANN,tanh,256,None,0.98868,5.1331,0.0048
ANN,tanh,512,None,0.99245,9.9652,0.0091
ANN,relu,2,None,0.67925,0.4846,0.0011
ANN,relu,16,None,0.93585,0.4878,0.0011
ANN,relu,64,None,0.97358,1.4429,0.0012
ANN,relu,256,None,0.98113,2.499,0.0016
ANN,relu,512,None,0.99245,5.3316,0.0025
